Team Name,Momentum
Howard,-0.7340631667
N Florida,-0.7532334573
Milwaukee,-0.7582272138
IU Indy,-0.7599740964
Northeastern,-0.8164407058
Stetson,-0.8274849587
CS Northridge,-0.8492502166
Idaho,-0.8635138131
FGCU,-0.9540547245
Idaho St,-0.9662816283
SE Louisiana,-0.9705069632
NC State,-0.9720011078
Penn,-0.9952391793
Gardner-Webb,-1.010896493
Purdue FW,-1.020221814
G Washington,-1.032426191
New Hampshire,-1.033031129
Sacramento St,-1.042686985
Wright St,-1.059415588
Rice,-1.090170442
NC Central,-1.096908882
Norfolk St,-1.111708392
Kansas St,-1.180660863
Virginia,-1.185478602
App State,-1.223907341
NJIT,-1.225819675
SC Upstate,-1.231106556
TCU,-1.233432481
Morehead St,-1.234329312
Boise St,-1.235708162
J Madison,-1.242060862
UC Riverside,-1.245955127
Seton Hall,-1.256694144
Lipscomb,-1.256724148
VCU,-1.272330916
NC A&T,-1.279822568
Rutgers,-1.285236098
Mercer,-1.296618365
Rhode Island,-1.298253935
San Jose St,-1.312663863
Louisville,-1.317871336
S Illinois,-1.321795517
Utah,-1.343930772
Southern Miss,-1.385064612
The Citadel,-1.413778451
New Orleans,-1.415615106
William & Mary,-1.420109308
Nebraska,-1.424475615
Bowling Green,-1.431594785
Pacific,-1.436491836
Detroit Mercy,-1.445534798
Little Rock,-1.449531698
Penn St,-1.464914649
Oregon St,-1.500508754
San Diego,-1.503637837
UMBC,-1.504681824
Charleston So,-1.549347134
Marquette,-1.557185363
Wyoming,-1.557304946
Saint Joseph's,-1.562903575
SIU Edward,-1.563469327
C Arkansas,-1.565596074
St Bonaventure,-1.572327452
W Georgia,-1.615997107
Liberty,-1.647671452
Stonehill,-1.674779481
Texas,-1.77780014
San Diego St,-1.794267223
Davidson,-1.806119492
NC Asheville,-1.812101959
Alabama A&M,-1.81690105
UT Rio Grande,-1.847337722
UT Arlington,-1.863708386
S Florida,-1.881939507
Akron,-1.906740649
USC,-1.950457458
Fordham,-1.968549792
Grand Canyon,-1.977937779
UC Davis,-2.001602364
UTEP,-2.019275718
Vanderbilt,-2.036629734
Illinois,-2.100245919
Longwood,-2.164736075
E Washington,-2.190099546
Virginia Tech,-2.210968813
E Carolina,-2.214907221
Nevada,-2.281650188
Miami,-2.295481467
Kansas,-2.296000999
Ohio St,-2.32899832
W Kentucky,-2.359537455
UCSB,-2.410056469
Air Force,-2.42780937
Notre Dame,-2.468503844
UL Monroe,-2.473559887
Tulsa,-2.489301765
Pittsburgh,-2.507250729
Princeton,-2.512883757
Army,-2.543913725
Illinois Chicago,-2.559154646
Marist,-2.602058314
S Utah,-2.604946008
Cincinnati,-2.669115733
Hawai'i,-2.677082953
VMI,-2.690575594
SF Austin,-2.759041138
Campbell,-2.871808351
Georgetown,-2.900845398
Missouri,-3.218193072
Arizona St,-3.225655416
Providence,-3.22861958
Samford,-3.289165108
Florida St,-3.333245769
Utah St,-3.762077666
UMass,-3.796652846
Columbia,-3.891502558
CS Fullerton,-4.111372436
Washington St,-4.326633977
Washington,-4.397009289
LSU,-6.299534985
