Team,PPG,PPGA,ScoringMargin,OffensiveEff,DefensiveEff,FloorP,FloorPA,PTWO,PTWOA,PTHREE,PTHREEA,PFT,PFTA,TWOPP,TWOPPA,THREEPP,THREEPPA,FTR,FTRA,ORB,ORBA,DRB,DRBA,BlockP,BlockPA,StealP,StealPA,AssistR,AssistRA,FoulR,FoulRA,ESCPG,EPR,EPRA,TOVR,TOVRA,WinP
Texas A&M,74.5,68.0,6.5,1.06,0.968,51.0,44.1,48.8,40.4,28.1,38.0,23.1,21.7,48.7,46.7,30.8,33.5,0.415,0.35,40.0,24.9,75.1,60.0,7.4,9.0,10.8,11.3,0.169,0.206,24.5,28.3,6.8,1.017,0.92,14.7,17.2,0.697
Florida St,74.5,72.5,2.0,1.029,1.002,49.7,46.9,53.5,45.5,24.7,32.5,21.8,22.0,52.3,48.9,31.7,32.0,0.394,0.375,27.6,28.9,71.1,72.4,8.2,4.7,10.5,8.6,0.18,0.171,26.4,26.3,0.6,0.949,0.942,15.2,16.5,0.531
UTSA,74.4,77.5,-3.1,1.036,1.079,46.5,51.3,42.2,47.7,39.1,29.2,18.8,23.1,46.1,53.2,36.1,35.7,0.29,0.439,25.3,33.6,66.4,74.7,6.0,7.1,12.3,9.7,0.17,0.21,26.1,20.6,1.8,0.965,0.94,13.6,17.7,0.345
Houston,74.3,57.9,16.4,1.132,0.882,52.2,41.2,50.7,44.2,32.8,34.6,16.6,21.2,48.9,44.1,39.6,30.2,0.282,0.342,36.0,24.6,75.4,64.0,9.0,4.5,12.2,7.5,0.182,0.164,24.8,24.6,8.1,1.024,0.901,12.1,18.9,0.886
Dartmouth,74.2,73.5,0.7,1.008,0.998,45.7,46.6,43.1,56.0,38.4,29.8,18.5,14.2,49.8,52.1,33.9,29.6,0.303,0.232,21.0,21.7,78.3,79.0,4.9,5.0,6.7,9.4,0.197,0.196,20.5,22.9,-2.4,0.935,0.968,14.5,12.2,0.462
Furman,74.2,71.1,3.1,1.083,1.037,48.9,48.2,39.5,50.5,42.2,31.8,18.3,17.7,53.5,49.5,35.9,33.1,0.346,0.289,27.9,29.2,70.8,72.1,5.5,5.5,9.0,10.5,0.235,0.177,22.1,23.8,-1.2,0.961,0.978,14.8,14.1,0.688
Utah Valley,74.2,68.9,5.2,1.041,0.968,50.8,45.8,54.4,51.9,23.4,29.1,22.3,18.9,51.5,45.9,32.5,34.0,0.42,0.315,28.9,24.0,76.0,71.1,9.0,6.8,9.0,9.5,0.208,0.17,23.5,28.0,0.7,0.957,0.948,15.0,14.8,0.719
Georgia St,74.2,78.7,-4.5,1.035,1.098,49.4,50.5,53.6,50.1,27.7,34.2,18.7,15.7,49.8,51.9,34.4,33.3,0.338,0.263,30.6,29.7,70.3,69.4,4.6,5.8,7.0,9.6,0.164,0.215,22.4,23.8,-3.0,0.973,1.016,14.5,11.0,0.406
UT Rio Grande,74.1,76.8,-2.7,1.02,1.057,45.9,49.7,47.4,54.0,39.1,28.2,13.5,17.8,55.4,52.0,31.8,33.4,0.227,0.299,28.5,32.8,67.2,71.5,4.4,4.0,10.2,9.9,0.214,0.197,23.1,19.7,-2.1,0.941,0.97,16.5,15.0,0.444
Tulane,74.1,71.2,3.0,1.06,1.018,49.6,47.1,49.1,45.5,30.7,34.5,20.2,19.9,52.9,48.3,33.9,32.3,0.351,0.328,23.6,30.2,69.8,76.4,7.4,6.3,10.6,8.6,0.209,0.21,24.7,23.2,-1.8,0.948,0.973,14.0,14.8,0.548
Boise St,74.1,66.1,8.0,1.103,0.983,51.6,46.2,47.3,51.4,29.9,30.8,22.6,17.8,56.3,48.6,31.0,34.2,0.392,0.312,31.5,20.1,79.9,68.5,4.6,5.7,7.8,7.7,0.209,0.159,24.2,27.4,2.5,0.972,0.934,14.5,14.4,0.697
Illinois Chicago,74.1,75.3,-1.2,1.033,1.05,48.4,49.5,48.6,53.1,31.5,29.0,19.9,17.9,51.1,51.6,34.0,34.4,0.351,0.316,26.5,25.9,74.1,73.5,5.4,6.2,8.7,9.4,0.201,0.217,24.8,24.6,-1.0,0.946,0.961,15.3,13.8,0.517
Georgia So,74.1,76.1,-2.1,1.01,1.039,46.1,49.5,46.8,46.8,38.6,29.7,14.6,23.5,49.8,51.2,34.5,32.3,0.265,0.431,30.7,30.6,69.4,69.3,6.4,6.7,10.7,9.5,0.185,0.177,26.9,21.3,0.2,0.959,0.957,16.1,15.7,0.5
E Carolina,74.0,73.9,0.1,1.055,1.054,50.3,49.0,52.1,49.6,26.9,32.1,21.0,18.3,49.3,48.5,31.2,38.4,0.352,0.316,32.6,29.0,71.0,67.4,7.5,5.9,10.8,8.9,0.184,0.208,22.1,24.2,3.2,1.004,0.958,13.2,15.1,0.548
Bucknell,74.0,73.2,0.9,1.029,1.016,48.3,47.5,48.6,46.6,32.9,33.9,18.5,19.4,54.4,49.0,35.3,34.7,0.367,0.354,24.2,25.6,74.4,75.8,5.5,5.5,9.2,10.7,0.189,0.178,24.7,25.4,-2.0,0.919,0.947,16.6,14.9,0.546
Miami,74.0,80.6,-6.6,1.063,1.159,49.5,53.0,54.6,49.4,29.2,34.9,16.3,15.7,55.1,55.9,31.3,39.7,0.264,0.288,26.8,28.1,71.9,73.2,5.8,5.0,9.2,8.8,0.185,0.236,20.6,20.6,-0.8,0.96,0.972,14.1,13.1,0.226
Quinnipiac,74.0,72.2,1.8,1.017,0.993,47.8,46.0,52.1,49.4,28.1,33.8,19.8,16.8,50.7,46.7,29.8,36.1,0.311,0.283,31.8,24.6,75.4,68.2,7.8,7.0,11.3,10.9,0.189,0.203,22.7,21.7,1.8,0.97,0.945,15.4,15.1,0.594
NC Central,74.0,78.8,-4.9,1.033,1.101,49.6,53.3,51.4,55.3,26.9,23.0,21.8,21.7,49.9,57.6,33.7,32.7,0.398,0.42,32.6,37.7,62.3,67.4,3.9,5.7,10.2,9.1,0.195,0.187,28.4,25.8,1.1,0.958,0.943,16.4,17.9,0.345
Arizona St,73.9,76.5,-2.5,1.018,1.053,47.0,48.9,44.2,49.2,35.6,31.9,20.2,18.9,49.8,51.4,35.8,32.9,0.359,0.312,22.1,28.0,72.0,77.9,7.2,6.5,7.4,10.5,0.177,0.2,23.4,25.0,-2.9,0.927,0.967,15.5,13.9,0.406
Butler,73.8,73.8,0.0,1.07,1.07,49.7,49.4,45.7,56.2,33.6,30.2,20.7,13.5,51.7,50.9,36.6,31.3,0.373,0.204,23.6,27.6,72.4,76.4,4.4,6.0,5.9,9.8,0.202,0.199,19.5,25.9,-5.8,0.941,1.026,14.6,9.9,0.424
LSU,73.8,73.6,0.3,1.021,1.017,47.7,47.9,49.8,52.7,31.7,29.6,18.5,17.7,55.2,48.2,30.5,32.3,0.324,0.295,26.9,31.2,68.8,73.1,7.5,5.6,9.8,11.1,0.177,0.174,23.2,23.2,-3.5,0.939,0.988,16.2,14.0,0.438
Ball St,73.8,75.3,-1.5,1.052,1.073,50.4,50.3,47.9,52.4,28.8,29.9,23.3,17.7,51.0,54.5,34.6,31.5,0.445,0.307,23.9,27.6,72.4,76.1,3.7,5.4,6.6,8.9,0.181,0.204,23.4,27.8,-3.0,0.944,0.987,14.6,12.3,0.393
Gardner-Webb,73.8,78.1,-4.4,1.026,1.087,49.4,51.7,55.1,51.6,25.4,28.2,19.5,20.1,53.1,54.2,33.0,32.3,0.362,0.372,31.8,27.9,72.1,68.2,5.4,5.6,7.2,11.0,0.146,0.194,26.2,25.4,-3.2,0.935,0.979,17.8,12.8,0.355
Youngstown St,73.7,72.6,1.1,1.021,1.005,47.4,48.1,44.4,52.6,34.3,26.9,21.2,20.5,52.1,48.1,31.3,33.5,0.364,0.358,27.8,28.7,71.3,72.2,8.9,4.7,9.5,9.2,0.177,0.186,26.0,25.6,0.2,0.954,0.951,15.3,15.6,0.594
Mercer,73.7,77.0,-3.3,0.996,1.041,46.7,47.5,50.9,42.9,32.6,38.3,16.6,18.8,49.8,49.7,31.8,34.7,0.298,0.328,26.3,27.4,72.6,73.7,4.3,5.8,10.5,10.7,0.168,0.193,22.6,21.6,0.1,0.966,0.965,14.4,14.6,0.387
Kennesaw St,73.7,74.0,-0.3,1.009,1.014,47.2,48.5,44.8,46.9,32.9,29.6,22.4,23.5,52.2,48.1,30.6,32.5,0.388,0.426,30.6,25.1,74.9,69.4,7.3,6.4,8.7,11.4,0.17,0.178,26.5,25.5,-1.9,0.94,0.966,17.0,13.3,0.533
Liberty,73.7,65.3,8.4,1.083,0.96,48.9,45.4,44.0,56.4,41.4,26.4,14.6,17.1,57.5,48.3,38.7,28.7,0.303,0.261,17.7,25.9,74.1,82.3,5.2,4.7,9.0,9.1,0.238,0.14,20.5,21.4,-2.0,0.924,0.953,14.1,14.9,0.781
Wichita St,73.6,73.1,0.5,1.025,1.019,49.9,47.6,58.3,51.7,21.0,32.2,20.7,16.1,49.9,49.7,30.2,33.6,0.349,0.286,29.9,26.0,74.0,70.1,7.2,7.6,9.3,9.9,0.165,0.191,21.4,22.9,0.3,0.976,0.971,14.0,13.5,0.546
Albany,73.6,74.8,-1.2,1.039,1.056,49.0,49.9,53.7,53.5,28.5,27.4,17.8,19.1,50.2,55.8,31.7,35.6,0.295,0.347,29.4,26.1,73.9,70.6,4.2,7.9,11.4,8.1,0.173,0.191,23.8,22.4,5.3,0.985,0.909,13.4,17.5,0.484
Saint Louis,73.6,72.6,1.0,1.052,1.038,47.6,47.6,44.8,50.4,39.6,34.8,15.6,14.9,59.9,48.3,35.1,33.7,0.3,0.24,21.4,26.8,73.2,78.6,4.5,5.9,8.6,10.6,0.212,0.185,21.0,22.2,-6.0,0.908,0.994,16.7,12.3,0.531
Fordham,73.5,78.5,-5.0,1.01,1.079,47.1,51.9,47.5,53.7,32.9,25.3,19.6,20.9,49.1,52.6,32.0,35.5,0.329,0.392,30.2,27.8,72.2,69.8,5.7,6.0,10.3,10.0,0.183,0.189,25.9,23.9,0.2,0.962,0.96,15.8,14.5,0.344
Stanford,73.4,70.6,2.9,1.069,1.028,48.9,48.9,46.7,52.8,34.4,26.4,18.9,20.8,50.0,51.0,34.3,33.2,0.299,0.357,29.4,26.1,73.9,70.6,6.6,3.9,10.1,7.8,0.202,0.147,24.9,23.5,2.7,0.979,0.94,13.5,15.4,0.618
S Florida,73.4,75.4,-2.0,1.013,1.04,48.0,49.1,51.3,49.1,28.6,29.7,20.1,21.3,51.1,49.6,31.6,33.3,0.349,0.367,25.0,30.0,70.0,75.0,5.9,6.4,11.1,9.0,0.192,0.197,24.1,24.0,0.1,0.959,0.957,14.1,15.7,0.387
Villanova,73.4,67.5,5.9,1.126,1.035,50.3,47.2,43.5,44.2,39.2,38.8,17.4,17.0,51.1,50.3,39.8,34.7,0.289,0.301,28.1,24.7,75.3,71.9,4.2,4.8,8.7,8.0,0.192,0.221,23.7,23.5,0.5,0.966,0.959,13.6,14.0,0.576
W Kentucky,73.3,74.8,-1.5,0.983,1.003,46.0,47.1,48.7,43.6,31.8,32.3,19.5,24.1,48.0,48.7,31.7,30.5,0.321,0.406,21.1,27.1,72.9,78.9,4.5,6.9,10.5,9.2,0.151,0.179,25.5,22.1,-1.1,0.948,0.962,13.8,14.8,0.5
E Michigan,73.3,77.1,-3.8,1.043,1.098,48.7,51.2,50.0,46.7,31.0,32.2,19.0,21.1,52.4,51.9,35.0,37.7,0.33,0.385,26.7,30.4,69.6,73.3,5.8,5.4,9.9,10.3,0.174,0.188,25.8,25.8,-1.6,0.933,0.955,16.4,15.4,0.484
UCSB,73.2,69.4,3.8,1.071,1.015,47.8,47.7,41.7,52.0,41.0,27.8,17.3,20.2,52.4,50.5,38.1,30.8,0.297,0.32,25.4,25.8,74.2,74.6,5.3,3.7,8.9,8.8,0.215,0.165,24.9,24.9,-1.2,0.931,0.947,16.0,15.0,0.594
Oklahoma St,73.1,76.6,-3.5,0.993,1.04,47.7,48.3,49.3,46.6,27.1,34.0,23.6,19.4,47.9,54.1,32.8,34.7,0.415,0.359,28.4,28.5,71.5,71.6,4.8,7.4,12.3,10.8,0.171,0.198,26.3,25.7,1.6,0.941,0.919,16.3,17.8,0.485
Georgia Tech,73.1,72.7,0.4,1.019,1.013,47.9,46.4,51.5,46.7,31.1,36.2,17.3,17.1,49.5,46.9,34.3,35.1,0.307,0.281,27.7,26.7,73.3,72.3,6.1,6.2,8.2,9.9,0.207,0.198,22.0,22.8,-1.0,0.957,0.971,15.1,13.7,0.5
Wofford,73.1,70.8,2.2,1.098,1.065,50.1,49.2,44.7,43.5,39.2,37.0,16.1,19.5,54.2,52.0,34.8,34.5,0.306,0.364,33.6,24.4,75.6,66.4,4.7,5.1,8.2,9.5,0.214,0.18,26.1,24.2,1.6,0.991,0.968,14.3,12.9,0.515
UT Arlington,73.0,75.7,-2.7,1.027,1.065,48.0,50.1,45.9,50.1,35.1,29.9,18.9,20.0,50.6,48.5,35.4,36.0,0.37,0.343,30.9,30.6,69.4,69.1,5.1,6.0,8.0,10.8,0.191,0.212,25.3,25.9,-2.2,0.949,0.98,16.5,14.0,0.379
Saint Mary's,72.9,61.2,11.7,1.114,0.935,53.1,44.1,55.8,56.5,26.7,26.9,17.6,16.6,51.8,45.9,32.5,31.2,0.312,0.247,38.9,21.9,78.1,61.1,7.2,4.8,9.3,8.0,0.233,0.188,23.1,25.7,6.1,1.037,0.944,12.5,14.4,0.849
Sam Houston,72.9,77.1,-4.2,1.031,1.089,47.8,50.4,44.9,47.2,34.5,34.3,20.6,18.4,47.0,52.3,38.3,36.2,0.363,0.332,28.1,30.4,69.6,71.9,4.8,5.2,8.3,9.9,0.173,0.2,25.3,25.9,-1.7,0.943,0.966,15.9,14.8,0.345
DePaul,72.8,74.2,-1.4,1.034,1.054,46.9,49.5,45.9,53.7,38.6,29.8,15.5,16.5,53.3,51.3,34.6,34.4,0.274,0.289,25.0,27.4,72.6,75.0,6.0,5.6,8.7,10.1,0.223,0.21,23.4,20.6,-2.9,0.935,0.976,15.8,13.5,0.424
G Washington,72.8,68.0,4.8,1.045,0.977,49.6,45.4,47.6,51.6,30.3,31.7,22.0,16.7,53.2,49.0,31.3,31.6,0.408,0.267,28.7,31.5,68.5,71.3,5.3,8.0,12.7,11.2,0.198,0.186,21.8,25.1,-0.7,0.949,0.958,15.8,16.5,0.625
Kent St,72.7,68.1,4.6,1.044,0.978,49.0,46.0,52.4,45.6,29.0,31.4,18.6,23.0,50.5,49.0,31.0,31.3,0.299,0.386,34.3,25.6,74.4,65.7,5.7,5.3,10.7,9.1,0.173,0.185,26.4,24.3,3.9,0.987,0.93,14.7,16.4,0.656
C Michigan,72.7,74.4,-1.7,1.028,1.052,49.3,48.2,54.2,45.9,24.9,36.9,20.8,17.2,51.2,52.5,31.3,35.9,0.358,0.313,29.5,27.5,72.5,70.5,4.5,5.9,10.1,9.0,0.178,0.203,23.5,25.7,0.7,0.954,0.944,15.3,15.8,0.37
Notre Dame,72.6,72.5,0.2,1.055,1.053,49.2,48.9,50.1,50.8,31.4,31.1,18.5,18.1,50.8,53.6,35.5,32.1,0.318,0.3,27.1,23.4,76.6,72.9,3.0,5.7,8.1,8.7,0.165,0.207,22.8,24.3,0.0,0.958,0.958,14.4,13.2,0.455
N Iowa,72.6,67.8,4.8,1.084,1.013,51.2,46.6,52.2,48.3,29.8,35.5,18.0,16.1,55.2,50.0,36.8,35.6,0.351,0.282,21.7,24.1,75.9,78.3,5.3,5.0,8.7,10.0,0.207,0.163,21.9,25.1,-0.3,0.936,0.94,14.3,15.3,0.594
SC Upstate,72.6,85.5,-13.0,0.967,1.14,46.1,53.8,55.8,49.6,27.1,30.1,17.1,20.3,53.1,58.3,29.4,35.2,0.304,0.395,22.6,31.8,68.2,77.4,3.8,5.0,9.9,10.7,0.172,0.189,25.8,22.8,-4.3,0.914,0.971,17.0,14.4,0.103
Loyola Chi,72.5,69.2,3.4,1.037,0.989,48.2,46.1,48.9,47.0,34.6,33.0,16.5,20.0,53.4,47.8,34.5,33.5,0.314,0.335,27.6,24.6,75.4,72.4,8.1,5.5,8.9,9.5,0.224,0.17,25.3,23.1,0.5,0.945,0.938,15.5,15.5,0.667
Valparaiso,72.5,75.3,-2.8,1.03,1.07,48.0,50.7,47.7,52.4,30.5,28.8,21.8,18.9,47.3,54.2,32.3,35.2,0.336,0.354,25.2,26.5,73.5,74.8,6.2,5.6,8.3,8.5,0.158,0.197,23.8,24.6,2.9,0.982,0.941,12.2,15.1,0.406
Texas A&M-CC,72.5,70.1,2.4,1.049,1.015,51.2,48.4,58.5,48.2,23.7,30.4,17.8,21.4,53.0,48.4,34.7,35.0,0.367,0.404,29.7,28.9,71.1,70.3,6.4,8.2,10.2,10.9,0.2,0.185,26.4,24.1,0.1,0.957,0.955,15.3,15.7,0.533
