Team,Ranking Score
UMass Lowell,-1472.3692903649435
American,-1485.9946241922921
Mt St Mary's,-1592.655281788058
Old Dominion,-1602.4853937729458
Stonehill,-1605.5718681055116
SF Austin,-1605.8150682119212
Wyoming,-1606.242465910365
Abl Christian,-1631.2455627972122
Nicholls,-1637.1441964555097
UTEP,-1642.5272714465164
William & Mary,-1672.9128804832994
LIU,-1704.584798700677
NC Asheville,-1726.5236216816666
UC Riverside,-1766.1201210984345
Merrimack,-1774.5890447685015
Georgia So,-1776.2937419875543
Colgate,-1779.1149162217016
Longwood,-1791.2841177847645
Fordham,-1827.9377312399608
Harvard,-1898.1447909859667
Oakland,-1915.6445291580317
UT Rio Grande,-1964.6678872164152
Kansas City,-2071.3471284511907
Toledo,-2093.950468505295
Loyola Mymt,-2111.3697545651457
Loyola MD,-2112.611109285321
San Jose St,-2149.2502596686136
Indiana St,-2166.067396458693
UT Arlington,-2176.648572096987
NW State,-2224.9924726135923
Wright St,-2317.3544315471045
Ball St,-2319.909055929866
Tenn Tech,-2333.646416589853
E Michigan,-2376.053250725882
Presbyterian,-2382.5743103108166
Saint Peter's,-2402.1603316414485
Cal Poly,-2404.418661498006
Missouri St,-2453.3080327708703
Texas So,-2482.81074860608
UT Martin,-2493.3938536006094
Mercer,-2548.7722873667185
Valparaiso,-2594.112884510758
W Kentucky,-2623.7846762998925
Delaware,-2695.833529958005
UTSA,-2739.719698447413
Rider,-2741.9297419028358
Morehead St,-2754.0985995339834
Bethune,-2799.014509297032
W Michigan,-2810.9513249432275
Lindenwood,-2815.1721461841694
South Dakota,-2824.9803853369503
Georgia St,-2910.5865756476683
Florida Intl,-2930.40837378556
Bowling Green,-2948.4159033863425
UC Davis,-2971.249246490248
Fairfield,-3000.529733782698
Wagner,-3030.8482102188345
Pepperdine,-3051.101934262101
Niagara,-3109.3904647867466
Jackson St,-3192.609257538007
Lehigh,-3224.9960872728852
Army,-3258.1045165599903
F Dickinson,-3343.9814994638914
Richmond,-3344.6873349665225
Idaho,-3393.208465684561
Sam Houston,-3464.3085503660577
Delaware St,-3513.375801642796
Hou Christian,-3515.495537922245
Coastal Car,-3565.2807062210186
Austin Peay,-3566.180490719652
La Salle,-3574.2112531331204
CS Bakersfield,-3593.474602234327
Binghamton,-3624.443431119537
Charlotte,-3627.1072380943447
Evansville,-3646.3932913327326
Howard,-3693.692211848833
E Washington,-3737.9195904863427
Columbia,-3758.2053814426854
Grambling,-3758.2599259085055
North Dakota,-3765.552071728653
N Florida,-3817.5267884446757
NC Central,-3829.2287969624113
Southern Miss,-3989.8387363399434
UMBC,-4023.4983715956064
S Indiana,-4058.454749615108
Monmouth,-4102.818757454095
San Diego,-4139.227566021899
Gardner-Webb,-4161.7175307737
Mercyhurst,-4250.123370344495
St Francis PA,-4291.980563431157
S Utah,-4323.507269864886
Penn,-4384.801731807948
NC A&T,-4487.901334165708
Florida A&M,-4534.5834392878705
Weber St,-4564.600482322042
Holy Cross,-4578.410091958205
VMI,-4579.943034987347
Charleston So,-4630.496732075505
E Illinois,-4631.168033545046
W Illinois,-4676.173827792268
Morgan St,-4704.081734835023
Portland,-4758.621888865275
Air Force,-4807.36535317957
Utah Tech,-4903.359382597153
Alabama A&M,-4938.56553104751
Pacific,-4943.977987501177
Sacramento St,-5014.888033936258
C Arkansas,-5133.30927053146
Denver,-5217.86219039525
Alcorn St,-5220.831688517495
Louisiana,-5277.97481464613
Fresno St,-5360.315731911993
E Texas A&M,-5468.743524410854
W Georgia,-5474.1217407383
IU Indy,-5569.718379193593
Buffalo,-5715.891120248277
Green Bay,-5840.102727779256
Detroit Mercy,-5879.62863135392
Le Moyne,-5887.6843592929745
Long Beach St,-5971.8851956834815
NJIT,-6073.28274312878
Tarleton St,-6128.008349126633
UL Monroe,-6140.038554236075
New Hampshire,-6167.154184597602
The Citadel,-6321.291650036594
SC Upstate,-6436.903596560413
Stetson,-6670.574065968233
Bellarmine,-6902.901538044354
CS Fullerton,-6907.1105680233195
N Illinois,-6961.664378913376
Stony Brook,-6983.189462076396
Prairie View,-7099.8722097408845
New Orleans,-7248.964689488823
W Carolina,-7342.478453440275
Oral Roberts,-7393.301975933697
Coppin St,-8436.101094371934
AR-Pine Bluff,-8602.512720698043
Chicago St,-8939.522845493579
Canisius,-9451.322054821281
Maryland ES,-9502.571318481481
Miss Valley St,-14761.652287751047
