Team Name,Performance,Total Games
Missouri,-18.304185738975267,10
Auburn,-2.5143297938572093,10
Iowa St,6.2224080587185115,10
Purdue,-2.7196681083948677,10
Louisville,3.693343604891128,10
Oregon,18.269246705429236,10
Cincinnati,-26.691157333092217,10
Memphis,9.896626244653,10
Texas Tech,5.558461670907975,10
Texas,-17.367392976235468,10
Maryland ES,4.634688548222011,10
New Hampshire,-10.33031129476584,10
Seton Hall,-12.566941435193943,10
Samford,-26.070492948155362,10
Fordham,-19.68549791857185,10
TCU,-12.334324814762113,10
Army,-25.439137250162396,10
Canisius,-2.9010096157773,10
UCF,20.522686104283,10
Iona,-1.5729297921796506,10
Niagara,-4.928427228197903,10
Purdue FW,-10.20221814441339,10
Manhattan,2.8791815585279514,10
Mt St Mary's,21.546677308726544,10
Northeastern,-8.164407057535136,10
Quinnipiac,-5.564973213432778,10
Radford,4.336688264917865,10
SIU Edward,9.123933005135411,10
LSU,-62.99534985485341,10
Saint Louis,12.355859027602987,10
Stetson,-8.27484958677686,10
Texas St,-0.8442698574639808,10
Louisiana,-5.270375958971902,10
Mississippi St,0.23230502197418224,10
Murray St,-4.735490770783004,10
S Alabama,7.774386484407712,10
Illinois Chicago,-25.59154645591697,10
Indiana,4.851465126756339,10
Norfolk St,2.015791606338518,10
S Carolina St,3.4884451132849588,10
VCU,3.064684719456884,10
Baylor,0.7241822616161986,10
Tennessee,7.054963738667175,10
Duke,23.859381774086856,10
Arkansas,-2.3497324952612964,10
Houston,19.430113370910835,10
Illinois,-32.24646208452228,10
West Virginia,-5.320359261249395,10
DePaul,10.8994141653,10
Tulane,9.977116410746438,10
W Kentucky,-23.59537454954701,10
San Diego,-15.036378369165947,10
Butler,-5.576440456741356,10
Brown,-4.7225952433073966,10
Davidson,-18.061194919321128,10
Florida Atlantic,-3.2607014402963657,10
NC State,-9.720011078152702,10
Princeton,-25.1288375749772,10
Rutgers,-12.852360982170106,10
Saint Joseph's,-5.86685300564314,10
Syracuse,9.1414459799008,10
Xavier,27.23115798711678,10
South Dakota,-5.058700669029423,10
California,0.2739713792352072,10
Portland,8.647708450404656,10
Washington,-43.97009289390717,10
Kentucky,-9.413746818263938,10
San Diego St,5.7320906779927965,10
Delaware St,-1.9805477137712395,10
UMass Lowell,-4.826426118410001,10
St John's,27.72940085384601,10
Alabama St,4.962362328012185,10
Nevada,-22.816501877020244,10
Duquesne,15.708306151492675,10
E Carolina,-22.149072211285237,10
Green Bay,0.8625650696757431,10
UL Monroe,-24.735598868601777,10
Notre Dame,-24.685038435380452,10
Pittsburgh,-25.07250728556187,10
Villanova,3.5346258179050123,10
Wright St,-10.594155882607383,10
Utah Valley,3.5732963198000545,10
BYU,28.011417530151405,10
Iowa,-1.3097823887947642,10
Evansville,-3.9744380072912673,10
The Citadel,-14.13778451471144,10
Virginia,-11.854786017058299,10
Virginia Tech,-22.109688134147824,10
Arkansas St,-16.226666109913538,10
Merrimack,21.641205456810447,10
Nebraska,-14.24475614780455,10
N Iowa,-3.2816204131112423,10
G Washington,-10.324261912128927,10
Louisiana Tech,-4.103328639292808,10
St Thomas,-6.595133110892452,10
UTSA,19.57349889004298,10
Colorado,13.89654245460668,10
Utah Tech,-7.203208835076461,10
Dayton,13.152293334604959,10
Alabama,15.73545734486964,10
UConn,-6.635409278626666,10
Florida,59.95837972398388,10
Kansas,-19.502000563791942,10
Oklahoma,26.70755711055428,10
Clemson,25.09839837202106,10
Mississippi,-8.881906070470782,10
Arizona,8.230031612643646,10
Howard,-7.34063166693686,10
Marshall,12.31028980181981,10
North Carolina,41.21701590265265,10
Providence,-32.28619579662424,10
South Carolina,1.713197009141769,10
Austin Peay,-2.873432920110196,10
Utah,-13.439307724830963,10
UCSB,-24.100564685932248,10
Oregon St,-15.005087541818181,10
San Jose St,-19.605279984835075,10
Furman,12.423993030864477,10
Penn St,-14.649146494853992,10
Rider,-1.7852194064622187,10
Youngstown St,-4.284598254180067,10
High Point,12.256485942114738,10
Bryant,9.615855716103049,10
Gardner-Webb,-10.108964929282754,10
Georgia St,7.87556065922529,10
Longwood,-21.647360753472217,10
NC Asheville,-18.121019585654782,10
Bellarmine,10.269768732782367,10
Jacksonville,-5.447195673520661,10
UT Arlington,-18.637083862323635,10
Santa Clara,7.477255981477337,10
Lindenwood,-3.74165640204496,10
SMU,10.628672034457741,10
NJIT,-12.25819674806387,10
Florida St,-33.33245769026177,10
Utah St,-21.330310357290806,10
Valparaiso,12.794670324651104,10
Jacksonville St,-3.6215847691664154,10
N Florida,-7.532334573002752,10
Washington St,-43.26633977465289,10
Georgia,13.4764313067524,10
Richmond,2.5040414327768588,10
Albany,-2.7367594370564747,10
Colorado St,58.65181117902598,10
Fresno St,-5.162701557518706,10
Liberty,7.735464105969232,10
E Kentucky,4.631028099173552,10
Kansas City,-6.651496181641875,10
Boise St,-12.357081621271606,10
Loyola Mymt,6.560510472435258,10
Pepperdine,-6.704408019062536,10
UNLV,1.651958207225674,10
Sacramento St,-10.426869853325732,10
Chattanooga,24.110821219694213,10
Hawai'i,-26.77082952737465,10
Kent St,0.3641146195530718,10
Mercer,-12.966183651266114,10
Old Dominion,-1.1379656880130713,10
UAB,12.411611298741338,10
Illinois St,-5.719239210066072,10
USC,-19.504574578718483,10
Hofstra,-0.6381478154628384,10
E Texas A&M,-4.268325421020908,10
Milwaukee,-7.582272137535398,10
N Kentucky,6.110957705939242,10
Little Rock,-14.495316981031596,10
Colgate,-2.825040754262701,10
E Michigan,15.40853694809113,10
Miami,-22.954814672406613,10
Morgan St,0.45748205989899465,10
N Dakota St,-4.0597375466942145,10
North Dakota,5.780114425174312,10
Northwestern,23.246401736061145,10
Boston College,-3.47964407713499,10
CS Fullerton,-41.11372436471405,10
Loyola Chi,12.250669458332705,10
Idaho,-8.635138131183883,10
Rhode Island,-12.982539349963613,10
C Arkansas,-15.655960743801652,10
Grambling,2.2082556477392044,10
Rice,-10.901704423556197,10
New Mexico St,14.539121696987005,10
Charleston,3.455465754667838,10
Middle Tenn,-2.301175144309523,10
N Colorado,4.18079574748901,10
UTEP,-20.192757177074874,10
