Team Name,Performance,Total Games
McNeese,14.563573090461862,10
Cal Baptist,-4.874979893476586,10
Lafayette,0.053006646512810285,10
Maine,-4.754002264539175,10
American,11.53097787315438,10
Tarleton St,8.65737210780124,10
Air Force,-24.278093697364188,10
IU Indy,-7.599740964139698,10
Wofford,12.20248044159978,10
W Carolina,5.309198712903579,10
W Georgia,-16.159971074380167,10
Tennessee St,1.724648758192535,10
Charleston So,-15.493471341415619,10
App State,-12.239073411817493,10
Holy Cross,-3.289848033910689,10
Coastal Car,-6.626067670756749,10
Detroit Mercy,-14.455347984723556,10
J Madison,-12.4206086196092,10
Lehigh,0.4657092029245171,10
Navy,3.7619440438088434,10
E Illinois,13.27236577859504,10
N Arizona,-5.685193067973636,10
UT Martin,-2.3904756455380167,10
Tenn Tech,-6.5148954459504695,10
E Washington,-21.90099546268807,10
S Dakota St,-6.7050543168055095,10
Long Beach St,13.154216717399308,10
Mercyhurst,2.4866334710743785,10
St Francis PA,13.895995416494051,10
Delaware,11.681813845210621,10
Florida A&M,0.2883570450404536,10
Alcorn St,-3.7836291990940216,10
Arizona St,-32.25655416250589,10
VMI,-26.905755936131214,10
NC Greensboro,-2.4643898771476582,10
NW State,5.8008134721161575,10
SE Louisiana,-9.705069631629684,10
Kennesaw St,10.233378824100464,10
Prairie View,-6.151987273844738,10
New Orleans,-14.15615105817121,10
SF Austin,-27.59041138438678,10
Texas So,-1.9710282309573828,10
C Michigan,6.770737269192729,10
Lamar,6.6841192922061445,10
UC Irvine,-3.4254497706791165,10
Boston U,-4.736252177803443,10
Bucknell,6.203882483794711,10
N Illinois,-0.05274854071393861,10
Akron,2.4700713310678517,10
Buffalo,-6.419003723729038,10
Toledo,-4.8480428648325615,10
Lipscomb,7.489985716260262,10
Sam Houston,-0.7564768816186097,10
FGCU,-9.540547245179063,10
Oral Roberts,3.631134164299725,10
Montana,20.67609373063504,10
Montana St,-6.296053812903496,10
UCSD,22.836588127729534,10
Portland St,1.5378635945451793,10
Le Moyne,-7.298388678800109,10
Miss Valley St,-5.172948792617079,10
Southern,-3.895281922367218,10
Hou Christian,-4.721495984189503,10
Texas A&M-CC,-2.675464793801047,10
F Dickinson,4.805170265704216,10
Chicago St,-2.7612499653679046,10
AR-Pine Bluff,-4.749027028225289,10
Incarnate Word,0.5181587071231687,10
UMBC,-15.04681823650694,10
Nicholls,-0.7728239707551642,10
Bethune,-3.399604013127713,10
